select name, country, age FROM singer ORDER BY age	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/concert_singer/concert_singer.sqlite	SELECT name ,  country ,  age FROM singer ORDER BY age DESC
select name FROM stadium WHERE stadium_id NOT IN ( stadium_id FROM concert) EXCEPT T1.name FROM stadium AS T1 JOIN concert AS T2 ON T1.stadium_id = T2.stadium_id WHERE T2.year = 2014)	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/concert_singer/concert_singer.sqlite	SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014

select T1.concert_name, T1.theme, count(*) FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_id = T2.concert_id GROUP BY T1.concert_name	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/concert_singer/concert_singer.sqlite	SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id

select T1.concert_name, T2.theme, count(*) FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_id = T2.concert_id GROUP BY T1.concert_name	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/concert_singer/concert_singer.sqlite	select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id

select T1.name FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.singer_id = T2.singer_id WHERE T2.year = 2014	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/concert_singer/concert_singer.sqlite	SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014

select T1.name FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.singer_id = T2.singer_id WHERE T2.year = 2014	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/concert_singer/concert_singer.sqlite	SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014

select T1.name, T1.location FROM stadium AS T1 JOIN concert AS T2 ON T1.stadium_id = T2.stadium_id WHERE T2.year = 2014 INTERSECT T1.name, T1.location FROM stadium AS T1 JOIN concert AS T2 ON T1.stadium_id = T2.stadium_id WHERE T2.year = 2015	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/concert_singer/concert_singer.sqlite	SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015

select T1.name, T1.location FROM stadium AS T1 JOIN concert AS T2 ON T1.stadium_id = T2.stadium_id WHERE T2.year = 2014 INTERSECT T1.name, T1.location FROM stadium AS T1 JOIN concert AS T2 ON T1.stadium_id = T2.stadium_id WHERE T2.year = 2015	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/concert_singer/concert_singer.sqlite	SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015

select count(*) FROM stadium AS T1 JOIN concert AS T2 ON T1.stadium_id = T2.stadium_id WHERE T1.capacity = ( max(capacity) FROM stadium)	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/concert_singer/concert_singer.sqlite	select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1)

select count(*) FROM stadium AS T1 JOIN concert AS T2 ON T1.stadium_id = T2.stadium_id WHERE T1.capacity = ( max(capacity) FROM stadium)	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/concert_singer/concert_singer.sqlite	select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1)

select weight FROM pets ORDER BY age LIMIT 1	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/pets_1/pets_1.sqlite	SELECT weight FROM pets ORDER BY pet_age LIMIT 1

select weight FROM pets ORDER BY age LIMIT 1	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/pets_1/pets_1.sqlite	SELECT weight FROM pets ORDER BY pet_age LIMIT 1

select count(*) FROM Student WHERE age > 20	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/pets_1/pets_1.sqlite	SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20

select count(*) FROM pets AS T1 JOIN has_pet AS T2 ON T1.petid = T2.petid JOIN student AS T3 ON T2.stuid = T3.stuid WHERE T3.sex = 'F'	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/pets_1/pets_1.sqlite	SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog'

select count(*) FROM pets AS T1 JOIN has_pet AS T2 ON T1.petid = T2.petid JOIN student AS T3 ON T2.stuid = T3.stuid WHERE T3.sex = 'F' AND T1.pet_type = 'Dog'	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/pets_1/pets_1.sqlite	SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog'

select fname FROM student WHERE StuID IN ( T1.StuID FROM Has_Pet AS T1 JOIN Pets AS T2 ON T1.PetID = T2.PetID WHERE T2.pettype = 'Cat' OR T2.pettype = 'Dog')	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/pets_1/pets_1.sqlite	SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' OR T3.pettype  =  'dog'

select DISTINCT T1.fname FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID WHERE T2.pettype = 'Cat' OR T2.pettype = 'Dog'	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/pets_1/pets_1.sqlite	SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' OR T3.pettype  =  'dog'

select fname FROM Student WHERE StuID IN ( T1.StuID FROM Has_Pet AS T1 JOIN Pets AS T2 ON T1.PetID = T2.PetID WHERE T2.pettype = 'Cat' INTERSECT T1.StuID FROM Has_Pet AS T1 JOIN Pets AS T2 ON T1.PetID = T2.PetID WHERE T2.pettype = 'Dog')	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/pets_1/pets_1.sqlite	select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'cat' intersect select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'dog'

select fname FROM Student WHERE StuID IN ( T1.StuID FROM Has_Pet AS T1 JOIN Pets AS T2 ON T1.PetID = T2.PetID WHERE T2.pettype = "Cat") INTERSECT T1.StuID FROM Has_Pet AS T1 JOIN Pets AS T2 ON T1.PetID = T2.PetID WHERE T2.pettype = "Dog")	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/pets_1/pets_1.sqlite	SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' INTERSECT SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog'

select Major, Age FROM Student WHERE StuID NOT IN ( T1.StuID FROM Has_Pet AS T1 JOIN Pets AS T2 ON T1.PetID = T2.PetID WHERE T2.PetType = "Cat")	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/pets_1/pets_1.sqlite	SELECT major ,  age FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')

select Major, Age FROM Student WHERE StuID NOT IN ( T1.StuID FROM Has_Pet AS T1 JOIN Pets AS T2 ON T1.PetID = T2.PetID WHERE T2.PetType = "Cat")	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/pets_1/pets_1.sqlite	SELECT major ,  age FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')

select StuID FROM Student EXCEPT StuID FROM Has_Pet WHERE PetType = "Cat"	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/pets_1/pets_1.sqlite	SELECT stuid FROM student EXCEPT SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat'

select StuID FROM Student EXCEPT StuID FROM Has_Pet WHERE PetType = "Cat"	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/pets_1/pets_1.sqlite	SELECT stuid FROM student EXCEPT SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat'

select fname, age FROM Student WHERE StuID IN ( T1.StuID FROM Has_Pet AS T1 JOIN Pets AS T2 ON T1.PetID = T2.PetID WHERE T2.pettype = "Dog") EXCEPT StuID FROM Has_Pet AS T1 JOIN Pets AS T2 ON T1.PetID = T2.PetID WHERE T2.pettype = "Cat")	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/pets_1/pets_1.sqlite	SELECT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog' AND T1.stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')

select fname FROM student WHERE StuID IN ( T1.StuID FROM Has_Pet AS T1 JOIN Pets AS T2 ON T1.PetID = T2.PetID WHERE T2.pettype = 'Dog' EXCEPT T1.StuID FROM Has_Pet AS T1 JOIN Pets AS T2 ON T1.PetID = T2.PetID WHERE T2.pettype = 'Cat')	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/pets_1/pets_1.sqlite	SELECT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog' AND T1.stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')

select pettype, weight FROM pets ORDER BY age LIMIT 1	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/pets_1/pets_1.sqlite	SELECT pettype ,  weight FROM pets ORDER BY pet_age LIMIT 1

select DISTINCT T1.fname, T1.age FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID WHERE T2.pet_id = 1	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/pets_1/pets_1.sqlite	SELECT DISTINCT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid

select T1.lname FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID WHERE T2.pet_age = 3	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/pets_1/pets_1.sqlite	SELECT T1.lname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pet_age  =  3 AND T3.pettype  =  'cat'

select T1.lname FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID WHERE T2.pet_age = 3	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/pets_1/pets_1.sqlite	SELECT T1.lname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pet_age  =  3 AND T3.pettype  =  'cat'

select avg(age) FROM Student WHERE StuID NOT IN ( StuID FROM Has_Pet)	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/pets_1/pets_1.sqlite	select avg(age) from student where stuid not in (select stuid from has_pet)

select avg(age) FROM Student WHERE StuID NOT IN ( T1.StuID FROM Has_Pet AS T1 JOIN Pets AS T2 ON T1.PetID = T2.PetID WHERE T2.PetType = "R" )	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/pets_1/pets_1.sqlite	select avg(age) from student where stuid not in (select stuid from has_pet)

select T1.Continent, T1.CountryName, COUNT(*) FROM countries AS T1 JOIN continents AS T2 ON T1.Continent = T2.ContinentId GROUP BY T1.Continent	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/car_1/car_1.sqlite	SELECT T1.ContId ,  T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.Continent GROUP BY T1.ContId;

select count(*), T1.Continent, count(*) FROM countries AS T1 JOIN continents AS T2 ON T1.Continent = T2.ContinentId GROUP BY T1.Continent	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/car_1/car_1.sqlite	SELECT T1.ContId ,  T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.Continent GROUP BY T1.ContId;

select T1.fullname, T1.id, count(*) FROM car_makers AS T1 JOIN model_list AS T2 ON T1.id = T2.modelid GROUP BY T1.id	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/car_1/car_1.sqlite	SELECT T1.FullName ,  T1.Id ,  count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id;

select T1.fullname, T1.id, count(*) FROM car_makers AS T1 JOIN model_list AS T2 ON T1.id = T2.modelid GROUP BY T1.id	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/car_1/car_1.sqlite	SELECT T1.FullName ,  T1.Id ,  count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id;

select T1.Model FROM model_list AS T1 JOIN cars_data AS T2 ON T1.Model = T2.Id ORDER BY T2.Horsepower ASC LIMIT 1	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/car_1/car_1.sqlite	SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id ORDER BY T2.horsepower ASC LIMIT 1;

select T1.Model FROM model_list AS T1 JOIN cars_data AS T2 ON T1.Model = T2.Id ORDER BY T2.Horsepower ASC LIMIT 1	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/car_1/car_1.sqlite	SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id ORDER BY T2.horsepower ASC LIMIT 1;

select T1.Model FROM model_list AS T1 JOIN cars_data AS T2 ON T1.Model = T2.Id WHERE T2.weight  ( avg(weight) FROM cars_data)	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/car_1/car_1.sqlite	SELECT T1.model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.Weight  <  (SELECT avg(Weight) FROM CARS_DATA)

select T1.Model FROM model_list AS T1 JOIN cars_data AS T2 ON T1.Model = T2.Id WHERE T2.weight  ( avg(weight) FROM cars_data)	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/car_1/car_1.sqlite	SELECT T1.model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.Weight  <  (SELECT avg(Weight) FROM CARS_DATA)

select T1.Make FROM car_makers AS T1 JOIN cars_data AS T2 ON T1.Id = T2.Id WHERE T2.Year = 1970	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/car_1/car_1.sqlite	SELECT DISTINCT T1.Maker FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker JOIN CAR_NAMES AS T3 ON T2.model  =  T3.model JOIN CARS_DATA AS T4 ON T3.MakeId  =  T4.id WHERE T4.year  =  '1970';

select DISTINCT T1.Make FROM car_makers AS T1 JOIN cars_data AS T2 ON T1.id = T2.id WHERE T2.year = 1970	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/car_1/car_1.sqlite	SELECT DISTINCT T1.Maker FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker JOIN CAR_NAMES AS T3 ON T2.model  =  T3.model JOIN CARS_DATA AS T4 ON T3.MakeId  =  T4.id WHERE T4.year  =  '1970';

select T1.make, T1.year FROM cars_data AS T1 JOIN cars AS T2 ON T1.id = T2.car_id ORDER BY T1.year LIMIT 1	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/car_1/car_1.sqlite	SELECT T2.Make ,  T1.Year FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T1.Year  =  (SELECT min(YEAR) FROM CARS_DATA);

select T1.Maker, T1.Year FROM cars_data AS T1 JOIN car_makers AS T2 ON T1.Id = T2.Car_Maker WHERE T1.Year = ( min(YEAR) FROM cars_data)	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/car_1/car_1.sqlite	SELECT T2.Make ,  T1.Year FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T1.Year  =  (SELECT min(YEAR) FROM CARS_DATA);

select DISTINCT Model FROM cars_data WHERE YEAR > 1980	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/car_1/car_1.sqlite	SELECT DISTINCT T1.model FROM MODEL_LIST AS T1 JOIN CAR_NAMES AS T2 ON T1.model  =  T2.model JOIN CARS_DATA AS T3 ON T2.MakeId  =  T3.id WHERE T3.year  >  1980;

select DISTINCT Model FROM model_list WHERE YEAR > 1980	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/car_1/car_1.sqlite	SELECT DISTINCT T1.model FROM MODEL_LIST AS T1 JOIN CAR_NAMES AS T2 ON T1.model  =  T2.model JOIN CARS_DATA AS T3 ON T2.MakeId  =  T3.id WHERE T3.year  >  1980;

select T1.Continent, COUNT(*) FROM countries AS T1 JOIN car_makers AS T2 ON T1.CountryId = T2.CountryId GROUP BY T1.CountryName	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/car_1/car_1.sqlite	SELECT T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.continent JOIN car_makers AS T3 ON T2.CountryId  =  T3.Country GROUP BY T1.Continent;

select count(*), T1.CountryName FROM countries AS T1 JOIN car_makers AS T2 ON T1.CountryId = T2.CountryId GROUP BY T1.CountryName	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/car_1/car_1.sqlite	SELECT T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.continent JOIN car_makers AS T3 ON T2.CountryId  =  T3.Country GROUP BY T1.Continent;

select countryname FROM countries GROUP BY countryname ORDER BY count(*) DESC LIMIT 1	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/car_1/car_1.sqlite	SELECT T2.CountryName FROM CAR_MAKERS AS T1 JOIN COUNTRIES AS T2 ON T1.Country  =  T2.CountryId GROUP BY T1.Country ORDER BY Count(*) DESC LIMIT 1;

select CountryName FROM countries GROUP BY CountryName ORDER BY COUNT(*) DESC LIMIT 1	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/car_1/car_1.sqlite	SELECT T2.CountryName FROM CAR_MAKERS AS T1 JOIN COUNTRIES AS T2 ON T1.Country  =  T2.CountryId GROUP BY T1.Country ORDER BY Count(*) DESC LIMIT 1;

select count(*), T1.fullname FROM car_makers AS T1 JOIN model_list AS T2 ON T1.id = T2.modelid GROUP BY T1.fullname	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/car_1/car_1.sqlite	select count(*) ,  t2.fullname from model_list as t1 join car_makers as t2 on t1.maker  =  t2.id group by t2.id;

select T1.id, T1.fullname, count(*) FROM car_makers AS T1 JOIN model_list AS T2 ON T1.id = T2.modelid GROUP BY T1.id	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/car_1/car_1.sqlite	SELECT Count(*) ,  T2.FullName ,  T2.id FROM MODEL_LIST AS T1 JOIN CAR_MAKERS AS T2 ON T1.Maker  =  T2.Id GROUP BY T2.id;

select Accelerate FROM cars_data WHERE Make = "amc hornet sportabout (sw)"	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/car_1/car_1.sqlite	SELECT T1.Accelerate FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T2.Make  =  'amc hornet sportabout (sw)';

select Accelerate FROM cars_data WHERE Model = "amc hornet sportabout (sw)"	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/car_1/car_1.sqlite	SELECT T1.Accelerate FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T2.Make  =  'amc hornet sportabout (sw)';

select count(*) FROM car_makers WHERE country = "France"	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/car_1/car_1.sqlite	SELECT count(*) FROM CAR_MAKERS AS T1 JOIN COUNTRIES AS T2 ON T1.Country  =  T2.CountryId WHERE T2.CountryName  =  'france';

select count(*) FROM car_makers WHERE country = 'France'	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/car_1/car_1.sqlite	SELECT count(*) FROM CAR_MAKERS AS T1 JOIN COUNTRIES AS T2 ON T1.Country  =  T2.CountryId WHERE T2.CountryName  =  'france';

select count(*) FROM cars_data WHERE country = 'USA'	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/car_1/car_1.sqlite	SELECT count(*) FROM MODEL_LIST AS T1 JOIN CAR_MAKERS AS T2 ON T1.Maker  =  T2.Id JOIN COUNTRIES AS T3 ON T2.Country  =  T3.CountryId WHERE T3.CountryName  =  'usa';

select count(*) FROM cars_data WHERE country = 'United States'	/home/ubuntu/nl-to-sql-model-research/datasets/spider_ds/spider/database/car_1/car_1.sqlite	SELECT count(*) FROM MODEL_LIST AS T1 JOIN CAR_MAKERS AS T2 ON T1.Maker  =  T2.Id JOIN COUNTRIES AS T3 ON T2.Country  =  T3.CountryId WHERE T3.CountryName  =  'usa';

